,name,link,HOF,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
132,Maurice Stokes,/players/s/stokema01.html,True,Career,,,NBA,PF,202,,37.3,6.2,17.7,.351,,,,,,,,4.0,5.8,.698,,,17.3,5.3,,,,3.9,16.4
133,Isiah Thomas,/players/t/thomais01.html,True,Career,,,NBA,PG,979,971,36.3,7.3,16.2,0.452,0.4,1.4,0.29,6.9,14.8,0.46799999999999997,0.465,4.1,5.4,0.759,1.0,2.6,3.6,9.3,1.9,0.3,3.8,3.0,19.2
134,David Thompson,/players/t/thompda01.html,True,Career,,,TOT,SG,592.0,69.0,32.8,8.5,16.8,0.505,0.1,0.3,0.255,8.4,16.6,0.508,0.507,5.7,7.3,0.7809999999999999,1.6,2.5,4.1,3.3,1.0,0.9,2.7,2.7,22.7
135,John Thompson,/players/t/thompjo01.html,True,Career,,,NBA,C,74,,10.4,1.3,3.2,0.41,,,,,,,,0.9,1.5,0.595,,,3.5,0.3,,,,2.1,3.5
136,Rod Thorn,/players/t/thornro01.html,True,Career,,,NBA,SG,466.0,,22.3,4.2,9.6,0.433,,,,,,,,2.4,3.4,0.723,,,3.1,2.6,,,,1.7,10.8
137,Nate Thurmond,/players/t/thurmna01.html,True,Career,,,NBA,PF,964.0,,37.2,5.7,13.6,0.42100000000000004,,,,,,,,3.5,5.3,0.667,2.8,6.8,15.0,2.7,0.5,2.1,,2.7,15.0
138,Rudy Tomjanovich,/players/t/tomjaru01.html,True,Career,,,NBA,PF,768,,33.5,7.3,14.6,0.501,0.3,1.1,0.262,7.3,14.5,0.504,0.502,2.7,3.5,0.784,2.2,5.2,8.1,2.0,0.7,0.3,1.6,2.5,17.4
139,Jack Twyman,/players/t/twymaja01.html,True,Career,,,NBA,SG,823,,31.8,7.6,16.9,0.45,,,,,,,,4.1,5.3,0.778,,,6.6,2.3,,,,3.4,19.2
140,Wes Unseld,/players/u/unselwe01.html,True,Career,,,NBA,C,984,,36.4,4.4,8.7,0.509,0.0,0.0,0.5,4.4,8.7,0.509,0.509,1.9,3.0,0.633,3.5,8.4,14.0,3.9,1.1,0.6,1.9,2.8,10.8
141,Chet Walker,/players/w/walkech01.html,True,Career,,,NBA,SF,1032.0,,32.4,6.7,14.2,0.47,,,,,,,,4.9,6.2,0.7959999999999999,1.6,3.8,7.1,2.1,0.7,0.1,,2.6,18.2
